quest_id,sequence,level,stage_name,difficulty,kind,concept,title,summary,prompt,xp,uses_gtkada
ADA-0011,11,2,Alire and Ada Foundations,Foundation,Recall,Compilation units,Recall: Compilation units,"Recall practice for Compilation units, emphasizing the relationship among library units, subprogram bodies, package specs, and package bodies.","Define Compilation units without looking it up. State the Ada rule, the problem it solves, and one misuse to avoid. Focus on the relationship among library units, subprogram bodies, package specs, and package bodies.",60,False
ADA-0012,12,2,Alire and Ada Foundations,Foundation,Explain,Compilation units,Explain: Compilation units,"Explain practice for Compilation units, emphasizing the relationship among library units, subprogram bodies, package specs, and package bodies.","Explain Compilation units to a competent C++ developer who is new to Ada. Compare the closest C++ idea, then explain where the comparison breaks down. Focus on the relationship among library units, subprogram bodies, package specs, and package bodies.",72,False
ADA-0013,13,2,Alire and Ada Foundations,Foundation,Read,Compilation units,Read: Compilation units,"Read practice for Compilation units, emphasizing the relationship among library units, subprogram bodies, package specs, and package bodies.","Create or locate a minimal compiling Ada example that demonstrates Compilation units. Annotate every line related to the concept and explain how the compiler enforces the relationship among library units, subprogram bodies, package specs, and package bodies.",84,False
ADA-0014,14,2,Alire and Ada Foundations,Foundation,Predict,Compilation units,Predict: Compilation units,"Predict practice for Compilation units, emphasizing the relationship among library units, subprogram bodies, package specs, and package bodies.","Write a small Ada program involving Compilation units. Before building it, predict the compiler result and runtime behavior. Build and run it, then explain every difference between prediction and observation. Focus on the relationship among library units, subprogram bodies, package specs, and package bodies.",96,False
ADA-0015,15,2,Alire and Ada Foundations,Foundation,Repair,Compilation units,Repair: Compilation units,"Repair practice for Compilation units, emphasizing the relationship among library units, subprogram bodies, package specs, and package bodies.","Start with a minimal working example of Compilation units, introduce one realistic defect involving the relationship among library units, subprogram bodies, package specs, and package bodies, and then repair it. Preserve the diagnostic and explain why the repaired version is correct.",108,False
ADA-0016,16,2,Alire and Ada Foundations,Foundation,Write,Compilation units,Write: Compilation units,"Write practice for Compilation units, emphasizing the relationship among library units, subprogram bodies, package specs, and package bodies.","From an empty Alire binary crate, implement a focused example of Compilation units. Use domain names from avionics, simulation, or game tooling and make the relationship among library units, subprogram bodies, package specs, and package bodies visible in the design.",120,False
ADA-0017,17,2,Alire and Ada Foundations,Foundation,Test,Compilation units,Test: Compilation units,"Test practice for Compilation units, emphasizing the relationship among library units, subprogram bodies, package specs, and package bodies.","Add tests for a package that uses Compilation units. Include a normal case, a boundary case, and a failure or misuse case related to the relationship among library units, subprogram bodies, package specs, and package bodies.",132,False
ADA-0018,18,2,Alire and Ada Foundations,Foundation,Refactor,Compilation units,Refactor: Compilation units,"Refactor practice for Compilation units, emphasizing the relationship among library units, subprogram bodies, package specs, and package bodies.","Take a working but weak Ada solution involving Compilation units and refactor it for stronger typing, clearer package boundaries, and easier testing. Explain how the refactor improves the relationship among library units, subprogram bodies, package specs, and package bodies.",144,False
ADA-0019,19,2,Alire and Ada Foundations,Foundation,Design,Compilation units,Design: Compilation units,"Design practice for Compilation units, emphasizing the relationship among library units, subprogram bodies, package specs, and package bodies.","Design a production-quality package or subsystem that depends on Compilation units. Specify the public API, hidden representation, contracts, error policy, tests, and dependency direction. Emphasize the relationship among library units, subprogram bodies, package specs, and package bodies.",156,False
ADA-0020,20,2,Alire and Ada Foundations,Foundation,Senior Review,Compilation units,Senior Review: Compilation units,"Senior Review practice for Compilation units, emphasizing the relationship among library units, subprogram bodies, package specs, and package bodies.","Perform a senior-level review of an implementation using Compilation units. Identify correctness, maintainability, concurrency, performance, portability, and test risks. Recommend a prioritized improvement plan centered on the relationship among library units, subprogram bodies, package specs, and package bodies.",168,False
ADA-0021,21,3,Alire and Ada Foundations,Foundation,Recall,Identifiers and naming,Recall: Identifiers and naming,"Recall practice for Identifiers and naming, emphasizing Ada identifier rules, readability, casing conventions, and semantic names.","Define Identifiers and naming without looking it up. State the Ada rule, the problem it solves, and one misuse to avoid. Focus on Ada identifier rules, readability, casing conventions, and semantic names.",60,False
ADA-0022,22,3,Alire and Ada Foundations,Foundation,Explain,Identifiers and naming,Explain: Identifiers and naming,"Explain practice for Identifiers and naming, emphasizing Ada identifier rules, readability, casing conventions, and semantic names.","Explain Identifiers and naming to a competent C++ developer who is new to Ada. Compare the closest C++ idea, then explain where the comparison breaks down. Focus on Ada identifier rules, readability, casing conventions, and semantic names.",72,False
ADA-0023,23,3,Alire and Ada Foundations,Foundation,Read,Identifiers and naming,Read: Identifiers and naming,"Read practice for Identifiers and naming, emphasizing Ada identifier rules, readability, casing conventions, and semantic names.","Create or locate a minimal compiling Ada example that demonstrates Identifiers and naming. Annotate every line related to the concept and explain how the compiler enforces Ada identifier rules, readability, casing conventions, and semantic names.",84,False
ADA-0024,24,3,Alire and Ada Foundations,Foundation,Predict,Identifiers and naming,Predict: Identifiers and naming,"Predict practice for Identifiers and naming, emphasizing Ada identifier rules, readability, casing conventions, and semantic names.","Write a small Ada program involving Identifiers and naming. Before building it, predict the compiler result and runtime behavior. Build and run it, then explain every difference between prediction and observation. Focus on Ada identifier rules, readability, casing conventions, and semantic names.",96,False
ADA-0025,25,3,Alire and Ada Foundations,Foundation,Repair,Identifiers and naming,Repair: Identifiers and naming,"Repair practice for Identifiers and naming, emphasizing Ada identifier rules, readability, casing conventions, and semantic names.","Start with a minimal working example of Identifiers and naming, introduce one realistic defect involving Ada identifier rules, readability, casing conventions, and semantic names, and then repair it. Preserve the diagnostic and explain why the repaired version is correct.",108,False
ADA-0026,26,3,Alire and Ada Foundations,Foundation,Write,Identifiers and naming,Write: Identifiers and naming,"Write practice for Identifiers and naming, emphasizing Ada identifier rules, readability, casing conventions, and semantic names.","From an empty Alire binary crate, implement a focused example of Identifiers and naming. Use domain names from avionics, simulation, or game tooling and make Ada identifier rules, readability, casing conventions, and semantic names visible in the design.",120,False
ADA-0027,27,3,Alire and Ada Foundations,Foundation,Test,Identifiers and naming,Test: Identifiers and naming,"Test practice for Identifiers and naming, emphasizing Ada identifier rules, readability, casing conventions, and semantic names.","Add tests for a package that uses Identifiers and naming. Include a normal case, a boundary case, and a failure or misuse case related to Ada identifier rules, readability, casing conventions, and semantic names.",132,False
ADA-0028,28,3,Alire and Ada Foundations,Foundation,Refactor,Identifiers and naming,Refactor: Identifiers and naming,"Refactor practice for Identifiers and naming, emphasizing Ada identifier rules, readability, casing conventions, and semantic names.","Take a working but weak Ada solution involving Identifiers and naming and refactor it for stronger typing, clearer package boundaries, and easier testing. Explain how the refactor improves Ada identifier rules, readability, casing conventions, and semantic names.",144,False
ADA-0029,29,3,Alire and Ada Foundations,Foundation,Design,Identifiers and naming,Design: Identifiers and naming,"Design practice for Identifiers and naming, emphasizing Ada identifier rules, readability, casing conventions, and semantic names.","Design a production-quality package or subsystem that depends on Identifiers and naming. Specify the public API, hidden representation, contracts, error policy, tests, and dependency direction. Emphasize Ada identifier rules, readability, casing conventions, and semantic names.",156,False
ADA-0030,30,3,Alire and Ada Foundations,Foundation,Senior Review,Identifiers and naming,Senior Review: Identifiers and naming,"Senior Review practice for Identifiers and naming, emphasizing Ada identifier rules, readability, casing conventions, and semantic names.","Perform a senior-level review of an implementation using Identifiers and naming. Identify correctness, maintainability, concurrency, performance, portability, and test risks. Recommend a prioritized improvement plan centered on Ada identifier rules, readability, casing conventions, and semantic names.",168,False
ADA-0031,31,3,Alire and Ada Foundations,Foundation,Recall,Declaration and elaboration order,Recall: Declaration and elaboration order,"Recall practice for Declaration and elaboration order, emphasizing what is visible and initialized at each point during elaboration.","Define Declaration and elaboration order without looking it up. State the Ada rule, the problem it solves, and one misuse to avoid. Focus on what is visible and initialized at each point during elaboration.",60,False
ADA-0032,32,3,Alire and Ada Foundations,Foundation,Explain,Declaration and elaboration order,Explain: Declaration and elaboration order,"Explain practice for Declaration and elaboration order, emphasizing what is visible and initialized at each point during elaboration.","Explain Declaration and elaboration order to a competent C++ developer who is new to Ada. Compare the closest C++ idea, then explain where the comparison breaks down. Focus on what is visible and initialized at each point during elaboration.",72,False
ADA-0033,33,3,Alire and Ada Foundations,Foundation,Read,Declaration and elaboration order,Read: Declaration and elaboration order,"Read practice for Declaration and elaboration order, emphasizing what is visible and initialized at each point during elaboration.",Create or locate a minimal compiling Ada example that demonstrates Declaration and elaboration order. Annotate every line related to the concept and explain how the compiler enforces what is visible and initialized at each point during elaboration.,84,False
ADA-0034,34,3,Alire and Ada Foundations,Foundation,Predict,Declaration and elaboration order,Predict: Declaration and elaboration order,"Predict practice for Declaration and elaboration order, emphasizing what is visible and initialized at each point during elaboration.","Write a small Ada program involving Declaration and elaboration order. Before building it, predict the compiler result and runtime behavior. Build and run it, then explain every difference between prediction and observation. Focus on what is visible and initialized at each point during elaboration.",96,False
ADA-0035,35,3,Alire and Ada Foundations,Foundation,Repair,Declaration and elaboration order,Repair: Declaration and elaboration order,"Repair practice for Declaration and elaboration order, emphasizing what is visible and initialized at each point during elaboration.","Start with a minimal working example of Declaration and elaboration order, introduce one realistic defect involving what is visible and initialized at each point during elaboration, and then repair it. Preserve the diagnostic and explain why the repaired version is correct.",108,False
ADA-0036,36,3,Alire and Ada Foundations,Foundation,Write,Declaration and elaboration order,Write: Declaration and elaboration order,"Write practice for Declaration and elaboration order, emphasizing what is visible and initialized at each point during elaboration.","From an empty Alire binary crate, implement a focused example of Declaration and elaboration order. Use domain names from avionics, simulation, or game tooling and make what is visible and initialized at each point during elaboration visible in the design.",120,False
ADA-0037,37,3,Alire and Ada Foundations,Foundation,Test,Declaration and elaboration order,Test: Declaration and elaboration order,"Test practice for Declaration and elaboration order, emphasizing what is visible and initialized at each point during elaboration.","Add tests for a package that uses Declaration and elaboration order. Include a normal case, a boundary case, and a failure or misuse case related to what is visible and initialized at each point during elaboration.",132,False
ADA-0038,38,3,Alire and Ada Foundations,Foundation,Refactor,Declaration and elaboration order,Refactor: Declaration and elaboration order,"Refactor practice for Declaration and elaboration order, emphasizing what is visible and initialized at each point during elaboration.","Take a working but weak Ada solution involving Declaration and elaboration order and refactor it for stronger typing, clearer package boundaries, and easier testing. Explain how the refactor improves what is visible and initialized at each point during elaboration.",144,False
ADA-0039,39,3,Alire and Ada Foundations,Foundation,Design,Declaration and elaboration order,Design: Declaration and elaboration order,"Design practice for Declaration and elaboration order, emphasizing what is visible and initialized at each point during elaboration.","Design a production-quality package or subsystem that depends on Declaration and elaboration order. Specify the public API, hidden representation, contracts, error policy, tests, and dependency direction. Emphasize what is visible and initialized at each point during elaboration.",156,False
ADA-0040,40,3,Alire and Ada Foundations,Foundation,Senior Review,Declaration and elaboration order,Senior Review: Declaration and elaboration order,"Senior Review practice for Declaration and elaboration order, emphasizing what is visible and initialized at each point during elaboration.","Perform a senior-level review of an implementation using Declaration and elaboration order. Identify correctness, maintainability, concurrency, performance, portability, and test risks. Recommend a prioritized improvement plan centered on what is visible and initialized at each point during elaboration.",168,False
ADA-0041,41,4,Alire and Ada Foundations,Foundation,Recall,Variables and initialization,Recall: Variables and initialization,"Recall practice for Variables and initialization, emphasizing definite assignment, default initialization, and avoiding invalid reads.","Define Variables and initialization without looking it up. State the Ada rule, the problem it solves, and one misuse to avoid. Focus on definite assignment, default initialization, and avoiding invalid reads.",60,False
ADA-0042,42,4,Alire and Ada Foundations,Foundation,Explain,Variables and initialization,Explain: Variables and initialization,"Explain practice for Variables and initialization, emphasizing definite assignment, default initialization, and avoiding invalid reads.","Explain Variables and initialization to a competent C++ developer who is new to Ada. Compare the closest C++ idea, then explain where the comparison breaks down. Focus on definite assignment, default initialization, and avoiding invalid reads.",72,False
ADA-0043,43,4,Alire and Ada Foundations,Foundation,Read,Variables and initialization,Read: Variables and initialization,"Read practice for Variables and initialization, emphasizing definite assignment, default initialization, and avoiding invalid reads.","Create or locate a minimal compiling Ada example that demonstrates Variables and initialization. Annotate every line related to the concept and explain how the compiler enforces definite assignment, default initialization, and avoiding invalid reads.",84,False
ADA-0044,44,4,Alire and Ada Foundations,Foundation,Predict,Variables and initialization,Predict: Variables and initialization,"Predict practice for Variables and initialization, emphasizing definite assignment, default initialization, and avoiding invalid reads.","Write a small Ada program involving Variables and initialization. Before building it, predict the compiler result and runtime behavior. Build and run it, then explain every difference between prediction and observation. Focus on definite assignment, default initialization, and avoiding invalid reads.",96,False
ADA-0045,45,4,Alire and Ada Foundations,Foundation,Repair,Variables and initialization,Repair: Variables and initialization,"Repair practice for Variables and initialization, emphasizing definite assignment, default initialization, and avoiding invalid reads.","Start with a minimal working example of Variables and initialization, introduce one realistic defect involving definite assignment, default initialization, and avoiding invalid reads, and then repair it. Preserve the diagnostic and explain why the repaired version is correct.",108,False
ADA-0046,46,4,Alire and Ada Foundations,Foundation,Write,Variables and initialization,Write: Variables and initialization,"Write practice for Variables and initialization, emphasizing definite assignment, default initialization, and avoiding invalid reads.","From an empty Alire binary crate, implement a focused example of Variables and initialization. Use domain names from avionics, simulation, or game tooling and make definite assignment, default initialization, and avoiding invalid reads visible in the design.",120,False
ADA-0047,47,4,Alire and Ada Foundations,Foundation,Test,Variables and initialization,Test: Variables and initialization,"Test practice for Variables and initialization, emphasizing definite assignment, default initialization, and avoiding invalid reads.","Add tests for a package that uses Variables and initialization. Include a normal case, a boundary case, and a failure or misuse case related to definite assignment, default initialization, and avoiding invalid reads.",132,False
ADA-0048,48,4,Alire and Ada Foundations,Foundation,Refactor,Variables and initialization,Refactor: Variables and initialization,"Refactor practice for Variables and initialization, emphasizing definite assignment, default initialization, and avoiding invalid reads.","Take a working but weak Ada solution involving Variables and initialization and refactor it for stronger typing, clearer package boundaries, and easier testing. Explain how the refactor improves definite assignment, default initialization, and avoiding invalid reads.",144,False
ADA-0049,49,4,Alire and Ada Foundations,Foundation,Design,Variables and initialization,Design: Variables and initialization,"Design practice for Variables and initialization, emphasizing definite assignment, default initialization, and avoiding invalid reads.","Design a production-quality package or subsystem that depends on Variables and initialization. Specify the public API, hidden representation, contracts, error policy, tests, and dependency direction. Emphasize definite assignment, default initialization, and avoiding invalid reads.",156,False
ADA-0050,50,4,Alire and Ada Foundations,Foundation,Senior Review,Variables and initialization,Senior Review: Variables and initialization,"Senior Review practice for Variables and initialization, emphasizing definite assignment, default initialization, and avoiding invalid reads.","Perform a senior-level review of an implementation using Variables and initialization. Identify correctness, maintainability, concurrency, performance, portability, and test risks. Recommend a prioritized improvement plan centered on definite assignment, default initialization, and avoiding invalid reads.",168,False
ADA-0051,51,5,Alire and Ada Foundations,Foundation,Recall,Constants and named numbers,Recall: Constants and named numbers,"Recall practice for Constants and named numbers, emphasizing when to use constants, deferred constants, and universal named numbers.","Define Constants and named numbers without looking it up. State the Ada rule, the problem it solves, and one misuse to avoid. Focus on when to use constants, deferred constants, and universal named numbers.",60,False
ADA-0052,52,5,Alire and Ada Foundations,Foundation,Explain,Constants and named numbers,Explain: Constants and named numbers,"Explain practice for Constants and named numbers, emphasizing when to use constants, deferred constants, and universal named numbers.","Explain Constants and named numbers to a competent C++ developer who is new to Ada. Compare the closest C++ idea, then explain where the comparison breaks down. Focus on when to use constants, deferred constants, and universal named numbers.",72,False
ADA-0053,53,5,Alire and Ada Foundations,Foundation,Read,Constants and named numbers,Read: Constants and named numbers,"Read practice for Constants and named numbers, emphasizing when to use constants, deferred constants, and universal named numbers.","Create or locate a minimal compiling Ada example that demonstrates Constants and named numbers. Annotate every line related to the concept and explain how the compiler enforces when to use constants, deferred constants, and universal named numbers.",84,False
ADA-0054,54,5,Alire and Ada Foundations,Foundation,Predict,Constants and named numbers,Predict: Constants and named numbers,"Predict practice for Constants and named numbers, emphasizing when to use constants, deferred constants, and universal named numbers.","Write a small Ada program involving Constants and named numbers. Before building it, predict the compiler result and runtime behavior. Build and run it, then explain every difference between prediction and observation. Focus on when to use constants, deferred constants, and universal named numbers.",96,False
ADA-0055,55,5,Alire and Ada Foundations,Foundation,Repair,Constants and named numbers,Repair: Constants and named numbers,"Repair practice for Constants and named numbers, emphasizing when to use constants, deferred constants, and universal named numbers.","Start with a minimal working example of Constants and named numbers, introduce one realistic defect involving when to use constants, deferred constants, and universal named numbers, and then repair it. Preserve the diagnostic and explain why the repaired version is correct.",108,False
ADA-0056,56,5,Alire and Ada Foundations,Foundation,Write,Constants and named numbers,Write: Constants and named numbers,"Write practice for Constants and named numbers, emphasizing when to use constants, deferred constants, and universal named numbers.","From an empty Alire binary crate, implement a focused example of Constants and named numbers. Use domain names from avionics, simulation, or game tooling and make when to use constants, deferred constants, and universal named numbers visible in the design.",120,False
ADA-0057,57,5,Alire and Ada Foundations,Foundation,Test,Constants and named numbers,Test: Constants and named numbers,"Test practice for Constants and named numbers, emphasizing when to use constants, deferred constants, and universal named numbers.","Add tests for a package that uses Constants and named numbers. Include a normal case, a boundary case, and a failure or misuse case related to when to use constants, deferred constants, and universal named numbers.",132,False
ADA-0058,58,5,Alire and Ada Foundations,Foundation,Refactor,Constants and named numbers,Refactor: Constants and named numbers,"Refactor practice for Constants and named numbers, emphasizing when to use constants, deferred constants, and universal named numbers.","Take a working but weak Ada solution involving Constants and named numbers and refactor it for stronger typing, clearer package boundaries, and easier testing. Explain how the refactor improves when to use constants, deferred constants, and universal named numbers.",144,False
ADA-0059,59,5,Alire and Ada Foundations,Foundation,Design,Constants and named numbers,Design: Constants and named numbers,"Design practice for Constants and named numbers, emphasizing when to use constants, deferred constants, and universal named numbers.","Design a production-quality package or subsystem that depends on Constants and named numbers. Specify the public API, hidden representation, contracts, error policy, tests, and dependency direction. Emphasize when to use constants, deferred constants, and universal named numbers.",156,False
ADA-0060,60,5,Alire and Ada Foundations,Foundation,Senior Review,Constants and named numbers,Senior Review: Constants and named numbers,"Senior Review practice for Constants and named numbers, emphasizing when to use constants, deferred constants, and universal named numbers.","Perform a senior-level review of an implementation using Constants and named numbers. Identify correctness, maintainability, concurrency, performance, portability, and test risks. Recommend a prioritized improvement plan centered on when to use constants, deferred constants, and universal named numbers.",168,False
ADA-0061,61,6,Alire and Ada Foundations,Foundation,Recall,Assignment and value semantics,Recall: Assignment and value semantics,"Recall practice for Assignment and value semantics, emphasizing copying values, assignment compatibility, and effects on the original object.","Define Assignment and value semantics without looking it up. State the Ada rule, the problem it solves, and one misuse to avoid. Focus on copying values, assignment compatibility, and effects on the original object.",60,False
ADA-0062,62,6,Alire and Ada Foundations,Foundation,Explain,Assignment and value semantics,Explain: Assignment and value semantics,"Explain practice for Assignment and value semantics, emphasizing copying values, assignment compatibility, and effects on the original object.","Explain Assignment and value semantics to a competent C++ developer who is new to Ada. Compare the closest C++ idea, then explain where the comparison breaks down. Focus on copying values, assignment compatibility, and effects on the original object.",72,False
ADA-0063,63,6,Alire and Ada Foundations,Foundation,Read,Assignment and value semantics,Read: Assignment and value semantics,"Read practice for Assignment and value semantics, emphasizing copying values, assignment compatibility, and effects on the original object.","Create or locate a minimal compiling Ada example that demonstrates Assignment and value semantics. Annotate every line related to the concept and explain how the compiler enforces copying values, assignment compatibility, and effects on the original object.",84,False
ADA-0064,64,6,Alire and Ada Foundations,Foundation,Predict,Assignment and value semantics,Predict: Assignment and value semantics,"Predict practice for Assignment and value semantics, emphasizing copying values, assignment compatibility, and effects on the original object.","Write a small Ada program involving Assignment and value semantics. Before building it, predict the compiler result and runtime behavior. Build and run it, then explain every difference between prediction and observation. Focus on copying values, assignment compatibility, and effects on the original object.",96,False
ADA-0065,65,6,Alire and Ada Foundations,Foundation,Repair,Assignment and value semantics,Repair: Assignment and value semantics,"Repair practice for Assignment and value semantics, emphasizing copying values, assignment compatibility, and effects on the original object.","Start with a minimal working example of Assignment and value semantics, introduce one realistic defect involving copying values, assignment compatibility, and effects on the original object, and then repair it. Preserve the diagnostic and explain why the repaired version is correct.",108,False
ADA-0066,66,6,Alire and Ada Foundations,Foundation,Write,Assignment and value semantics,Write: Assignment and value semantics,"Write practice for Assignment and value semantics, emphasizing copying values, assignment compatibility, and effects on the original object.","From an empty Alire binary crate, implement a focused example of Assignment and value semantics. Use domain names from avionics, simulation, or game tooling and make copying values, assignment compatibility, and effects on the original object visible in the design.",120,False
ADA-0067,67,6,Alire and Ada Foundations,Foundation,Test,Assignment and value semantics,Test: Assignment and value semantics,"Test practice for Assignment and value semantics, emphasizing copying values, assignment compatibility, and effects on the original object.","Add tests for a package that uses Assignment and value semantics. Include a normal case, a boundary case, and a failure or misuse case related to copying values, assignment compatibility, and effects on the original object.",132,False
ADA-0068,68,6,Alire and Ada Foundations,Foundation,Refactor,Assignment and value semantics,Refactor: Assignment and value semantics,"Refactor practice for Assignment and value semantics, emphasizing copying values, assignment compatibility, and effects on the original object.","Take a working but weak Ada solution involving Assignment and value semantics and refactor it for stronger typing, clearer package boundaries, and easier testing. Explain how the refactor improves copying values, assignment compatibility, and effects on the original object.",144,False
ADA-0069,69,6,Alire and Ada Foundations,Foundation,Design,Assignment and value semantics,Design: Assignment and value semantics,"Design practice for Assignment and value semantics, emphasizing copying values, assignment compatibility, and effects on the original object.","Design a production-quality package or subsystem that depends on Assignment and value semantics. Specify the public API, hidden representation, contracts, error policy, tests, and dependency direction. Emphasize copying values, assignment compatibility, and effects on the original object.",156,False
ADA-0070,70,6,Alire and Ada Foundations,Foundation,Senior Review,Assignment and value semantics,Senior Review: Assignment and value semantics,"Senior Review practice for Assignment and value semantics, emphasizing copying values, assignment compatibility, and effects on the original object.","Perform a senior-level review of an implementation using Assignment and value semantics. Identify correctness, maintainability, concurrency, performance, portability, and test risks. Recommend a prioritized improvement plan centered on copying values, assignment compatibility, and effects on the original object.",168,False
ADA-0071,71,7,Alire and Ada Foundations,Foundation,Recall,Numeric and based literals,Recall: Numeric and based literals,"Recall practice for Numeric and based literals, emphasizing underscores, exponent notation, base notation, and exact intent.","Define Numeric and based literals without looking it up. State the Ada rule, the problem it solves, and one misuse to avoid. Focus on underscores, exponent notation, base notation, and exact intent.",60,False
ADA-0072,72,7,Alire and Ada Foundations,Foundation,Explain,Numeric and based literals,Explain: Numeric and based literals,"Explain practice for Numeric and based literals, emphasizing underscores, exponent notation, base notation, and exact intent.","Explain Numeric and based literals to a competent C++ developer who is new to Ada. Compare the closest C++ idea, then explain where the comparison breaks down. Focus on underscores, exponent notation, base notation, and exact intent.",72,False
ADA-0073,73,7,Alire and Ada Foundations,Foundation,Read,Numeric and based literals,Read: Numeric and based literals,"Read practice for Numeric and based literals, emphasizing underscores, exponent notation, base notation, and exact intent.","Create or locate a minimal compiling Ada example that demonstrates Numeric and based literals. Annotate every line related to the concept and explain how the compiler enforces underscores, exponent notation, base notation, and exact intent.",84,False
ADA-0074,74,7,Alire and Ada Foundations,Foundation,Predict,Numeric and based literals,Predict: Numeric and based literals,"Predict practice for Numeric and based literals, emphasizing underscores, exponent notation, base notation, and exact intent.","Write a small Ada program involving Numeric and based literals. Before building it, predict the compiler result and runtime behavior. Build and run it, then explain every difference between prediction and observation. Focus on underscores, exponent notation, base notation, and exact intent.",96,False
ADA-0075,75,7,Alire and Ada Foundations,Foundation,Repair,Numeric and based literals,Repair: Numeric and based literals,"Repair practice for Numeric and based literals, emphasizing underscores, exponent notation, base notation, and exact intent.","Start with a minimal working example of Numeric and based literals, introduce one realistic defect involving underscores, exponent notation, base notation, and exact intent, and then repair it. Preserve the diagnostic and explain why the repaired version is correct.",108,False
ADA-0076,76,7,Alire and Ada Foundations,Foundation,Write,Numeric and based literals,Write: Numeric and based literals,"Write practice for Numeric and based literals, emphasizing underscores, exponent notation, base notation, and exact intent.","From an empty Alire binary crate, implement a focused example of Numeric and based literals. Use domain names from avionics, simulation, or game tooling and make underscores, exponent notation, base notation, and exact intent visible in the design.",120,False
