sequence,quest_id,project,chapter,kind,title,workspace,files,prompt,verification
27,ADA-P1-03-07,Project 1 — Dungeon Walk,"Variables, Constants, and Game State",Repair,"Variables, Constants, and Game State — Repair",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_state.ads,Reproduce and repair this defect class in the current project: Using magic numbers everywhere or accidentally shadowing state in a nested block.,Movement changes variables while dimensions and configuration remain constant.
28,ADA-P1-03-08,Project 1 — Dungeon Walk,"Variables, Constants, and Game State",Refactor,"Variables, Constants, and Game State — Refactor",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_state.ads,"Refactor the chapter implementation so Variables, constants, assignment, and scope is clearer without changing behavior.",Movement changes variables while dimensions and configuration remain constant.
29,ADA-P1-03-09,Project 1 — Dungeon Walk,"Variables, Constants, and Game State",Integrate,"Variables, Constants, and Game State — Integrate",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_state.ads,"Integrate this chapter into the running final product so it works with earlier milestones: Track player position, heading, running state, and immutable map dimensions.",Movement changes variables while dimensions and configuration remain constant.
30,ADA-P1-03-10,Project 1 — Dungeon Walk,"Variables, Constants, and Game State",Review,"Variables, Constants, and Game State — Review",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_state.ads,"Perform a senior-style checkpoint review of Variables, Constants, and Game State in Dungeon Walk.",Movement changes variables while dimensions and configuration remain constant.
31,ADA-P1-04-01,Project 1 — Dungeon Walk,Constrain Coordinates and Angles,Question,Constrain Coordinates and Angles — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/dungeon_types.adb; src/game_state.ads,"Answer one focused question before editing code: How should Scalar types, subtypes, ranges, and conversions be used to accomplish this milestone: Replace raw Integer values with coordinate, angle, row, and column subtypes that reject invalid states.",Out-of-range values are rejected at boundaries and valid movement still builds cleanly.
32,ADA-P1-04-02,Project 1 — Dungeon Walk,Constrain Coordinates and Angles,Code Reading,Constrain Coordinates and Angles — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/dungeon_types.adb; src/game_state.ads,"Read the current implementation around src/dungeon_types.ads, src/dungeon_types.adb, src/game_state.ads. Trace how data enters, changes, and leaves the code for this milestone: Replace raw Integer values with coordinate, angle, row, and column subtypes that reject invalid states.",Out-of-range values are rejected at boundaries and valid movement still builds cleanly.
33,ADA-P1-04-03,Project 1 — Dungeon Walk,Constrain Coordinates and Angles,Predict,Constrain Coordinates and Angles — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/dungeon_types.adb; src/game_state.ads,Predict the exact behavior if the implementation encounters this problem: Constraint_Error caused by converting before validating or mixing incompatible units.,Out-of-range values are rejected at boundaries and valid movement still builds cleanly.
34,ADA-P1-04-04,Project 1 — Dungeon Walk,Constrain Coordinates and Angles,Implement,Constrain Coordinates and Angles — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/dungeon_types.adb; src/game_state.ads,"Implement the core milestone in the existing dungeon_walk crate: Replace raw Integer values with coordinate, angle, row, and column subtypes that reject invalid states.",Out-of-range values are rejected at boundaries and valid movement still builds cleanly.
35,ADA-P1-04-05,Project 1 — Dungeon Walk,Constrain Coordinates and Angles,Extend,Constrain Coordinates and Angles — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/dungeon_types.adb; src/game_state.ads,Extend the completed milestone with this practical variation: Add safe conversion functions at input and file boundaries.,Out-of-range values are rejected at boundaries and valid movement still builds cleanly.
36,ADA-P1-04-06,Project 1 — Dungeon Walk,Constrain Coordinates and Angles,Test,Constrain Coordinates and Angles — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/dungeon_types.adb; src/game_state.ads,"Create automated or repeatable tests that prove the milestone and its boundaries: Replace raw Integer values with coordinate, angle, row, and column subtypes that reject invalid states.",Out-of-range values are rejected at boundaries and valid movement still builds cleanly.
37,ADA-P1-04-07,Project 1 — Dungeon Walk,Constrain Coordinates and Angles,Repair,Constrain Coordinates and Angles — Repair,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/dungeon_types.adb; src/game_state.ads,Reproduce and repair this defect class in the current project: Constraint_Error caused by converting before validating or mixing incompatible units.,Out-of-range values are rejected at boundaries and valid movement still builds cleanly.
38,ADA-P1-04-08,Project 1 — Dungeon Walk,Constrain Coordinates and Angles,Refactor,Constrain Coordinates and Angles — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/dungeon_types.adb; src/game_state.ads,"Refactor the chapter implementation so Scalar types, subtypes, ranges, and conversions is clearer without changing behavior.",Out-of-range values are rejected at boundaries and valid movement still builds cleanly.
39,ADA-P1-04-09,Project 1 — Dungeon Walk,Constrain Coordinates and Angles,Integrate,Constrain Coordinates and Angles — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/dungeon_types.adb; src/game_state.ads,"Integrate this chapter into the running final product so it works with earlier milestones: Replace raw Integer values with coordinate, angle, row, and column subtypes that reject invalid states.",Out-of-range values are rejected at boundaries and valid movement still builds cleanly.
40,ADA-P1-04-10,Project 1 — Dungeon Walk,Constrain Coordinates and Angles,Review,Constrain Coordinates and Angles — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/dungeon_types.adb; src/game_state.ads,Perform a senior-style checkpoint review of Constrain Coordinates and Angles in Dungeon Walk.,Out-of-range values are rejected at boundaries and valid movement still builds cleanly.
41,ADA-P1-05-01,Project 1 — Dungeon Walk,Model Directions and Tiles,Question,Model Directions and Tiles — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/command_parser.adb,"Answer one focused question before editing code: How should Enumeration types, attributes, and case statements be used to accomplish this milestone: Represent directions, commands, and tile kinds with enumerations instead of strings and integers.",Every command and tile kind is handled explicitly by case statements.
42,ADA-P1-05-02,Project 1 — Dungeon Walk,Model Directions and Tiles,Code Reading,Model Directions and Tiles — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/command_parser.adb,"Read the current implementation around src/dungeon_types.ads, src/command_parser.adb. Trace how data enters, changes, and leaves the code for this milestone: Represent directions, commands, and tile kinds with enumerations instead of strings and integers.",Every command and tile kind is handled explicitly by case statements.
43,ADA-P1-05-03,Project 1 — Dungeon Walk,Model Directions and Tiles,Predict,Model Directions and Tiles — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/command_parser.adb,Predict the exact behavior if the implementation encounters this problem: Missing case alternatives or allowing file-format text to leak throughout the domain model.,Every command and tile kind is handled explicitly by case statements.
44,ADA-P1-05-04,Project 1 — Dungeon Walk,Model Directions and Tiles,Implement,Model Directions and Tiles — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/command_parser.adb,"Implement the core milestone in the existing dungeon_walk crate: Represent directions, commands, and tile kinds with enumerations instead of strings and integers.",Every command and tile kind is handled explicitly by case statements.
45,ADA-P1-05-05,Project 1 — Dungeon Walk,Model Directions and Tiles,Extend,Model Directions and Tiles — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/command_parser.adb,Extend the completed milestone with this practical variation: Use enumeration Image/Value helpers behind a safe parser.,Every command and tile kind is handled explicitly by case statements.
46,ADA-P1-05-06,Project 1 — Dungeon Walk,Model Directions and Tiles,Test,Model Directions and Tiles — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/command_parser.adb,"Create automated or repeatable tests that prove the milestone and its boundaries: Represent directions, commands, and tile kinds with enumerations instead of strings and integers.",Every command and tile kind is handled explicitly by case statements.
47,ADA-P1-05-07,Project 1 — Dungeon Walk,Model Directions and Tiles,Repair,Model Directions and Tiles — Repair,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/command_parser.adb,Reproduce and repair this defect class in the current project: Missing case alternatives or allowing file-format text to leak throughout the domain model.,Every command and tile kind is handled explicitly by case statements.
48,ADA-P1-05-08,Project 1 — Dungeon Walk,Model Directions and Tiles,Refactor,Model Directions and Tiles — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/command_parser.adb,"Refactor the chapter implementation so Enumeration types, attributes, and case statements is clearer without changing behavior.",Every command and tile kind is handled explicitly by case statements.
49,ADA-P1-05-09,Project 1 — Dungeon Walk,Model Directions and Tiles,Integrate,Model Directions and Tiles — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/command_parser.adb,"Integrate this chapter into the running final product so it works with earlier milestones: Represent directions, commands, and tile kinds with enumerations instead of strings and integers.",Every command and tile kind is handled explicitly by case statements.
50,ADA-P1-05-10,Project 1 — Dungeon Walk,Model Directions and Tiles,Review,Model Directions and Tiles — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/command_parser.adb,Perform a senior-style checkpoint review of Model Directions and Tiles in Dungeon Walk.,Every command and tile kind is handled explicitly by case statements.
51,ADA-P1-06-01,Project 1 — Dungeon Walk,Build the Main Game Loop,Question,Build the Main Game Loop — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_loop.ads; src/game_loop.adb,"Answer one focused question before editing code: How should loop, while, for, exit, and iteration invariants be used to accomplish this milestone: Create a stable input-update-render loop that exits only through a clear quit condition.","The loop can run interactively, run a finite script, and exit cleanly."
52,ADA-P1-06-02,Project 1 — Dungeon Walk,Build the Main Game Loop,Code Reading,Build the Main Game Loop — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_loop.ads; src/game_loop.adb,"Read the current implementation around src/dungeon_walk.adb, src/game_loop.ads, src/game_loop.adb. Trace how data enters, changes, and leaves the code for this milestone: Create a stable input-update-render loop that exits only through a clear quit condition.","The loop can run interactively, run a finite script, and exit cleanly."
53,ADA-P1-06-03,Project 1 — Dungeon Walk,Build the Main Game Loop,Predict,Build the Main Game Loop — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_loop.ads; src/game_loop.adb,"Predict the exact behavior if the implementation encounters this problem: Infinite loops, hidden exits, or updating state after the quit command.","The loop can run interactively, run a finite script, and exit cleanly."
54,ADA-P1-06-04,Project 1 — Dungeon Walk,Build the Main Game Loop,Implement,Build the Main Game Loop — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_loop.ads; src/game_loop.adb,Implement the core milestone in the existing dungeon_walk crate: Create a stable input-update-render loop that exits only through a clear quit condition.,"The loop can run interactively, run a finite script, and exit cleanly."
55,ADA-P1-06-05,Project 1 — Dungeon Walk,Build the Main Game Loop,Extend,Build the Main Game Loop — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_loop.ads; src/game_loop.adb,Extend the completed milestone with this practical variation: Add a bounded demo mode that replays a sequence of commands.,"The loop can run interactively, run a finite script, and exit cleanly."
56,ADA-P1-06-06,Project 1 — Dungeon Walk,Build the Main Game Loop,Test,Build the Main Game Loop — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_loop.ads; src/game_loop.adb,Create automated or repeatable tests that prove the milestone and its boundaries: Create a stable input-update-render loop that exits only through a clear quit condition.,"The loop can run interactively, run a finite script, and exit cleanly."
57,ADA-P1-06-07,Project 1 — Dungeon Walk,Build the Main Game Loop,Repair,Build the Main Game Loop — Repair,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_loop.ads; src/game_loop.adb,"Reproduce and repair this defect class in the current project: Infinite loops, hidden exits, or updating state after the quit command.","The loop can run interactively, run a finite script, and exit cleanly."
58,ADA-P1-06-08,Project 1 — Dungeon Walk,Build the Main Game Loop,Refactor,Build the Main Game Loop — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_loop.ads; src/game_loop.adb,"Refactor the chapter implementation so loop, while, for, exit, and iteration invariants is clearer without changing behavior.","The loop can run interactively, run a finite script, and exit cleanly."
59,ADA-P1-06-09,Project 1 — Dungeon Walk,Build the Main Game Loop,Integrate,Build the Main Game Loop — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_loop.ads; src/game_loop.adb,Integrate this chapter into the running final product so it works with earlier milestones: Create a stable input-update-render loop that exits only through a clear quit condition.,"The loop can run interactively, run a finite script, and exit cleanly."
60,ADA-P1-06-10,Project 1 — Dungeon Walk,Build the Main Game Loop,Review,Build the Main Game Loop — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; src/game_loop.ads; src/game_loop.adb,Perform a senior-style checkpoint review of Build the Main Game Loop in Dungeon Walk.,"The loop can run interactively, run a finite script, and exit cleanly."
61,ADA-P1-07-01,Project 1 — Dungeon Walk,Move Behavior into Procedures,Question,Move Behavior into Procedures — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/player_actions.ads; src/player_actions.adb,"Answer one focused question before editing code: How should Procedures and in/out/in out modes be used to accomplish this milestone: Extract prompting, movement, turning, and status display into procedures with deliberate parameter modes.",Each procedure has a narrow purpose and correct parameter modes.
62,ADA-P1-07-02,Project 1 — Dungeon Walk,Move Behavior into Procedures,Code Reading,Move Behavior into Procedures — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/player_actions.ads; src/player_actions.adb,"Read the current implementation around src/player_actions.ads, src/player_actions.adb. Trace how data enters, changes, and leaves the code for this milestone: Extract prompting, movement, turning, and status display into procedures with deliberate parameter modes.",Each procedure has a narrow purpose and correct parameter modes.
63,ADA-P1-07-03,Project 1 — Dungeon Walk,Move Behavior into Procedures,Predict,Move Behavior into Procedures — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/player_actions.ads; src/player_actions.adb,Predict the exact behavior if the implementation encounters this problem: Using in out for everything or changing state through globals that should be parameters.,Each procedure has a narrow purpose and correct parameter modes.
64,ADA-P1-07-04,Project 1 — Dungeon Walk,Move Behavior into Procedures,Implement,Move Behavior into Procedures — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/player_actions.ads; src/player_actions.adb,"Implement the core milestone in the existing dungeon_walk crate: Extract prompting, movement, turning, and status display into procedures with deliberate parameter modes.",Each procedure has a narrow purpose and correct parameter modes.
65,ADA-P1-07-05,Project 1 — Dungeon Walk,Move Behavior into Procedures,Extend,Move Behavior into Procedures — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/player_actions.ads; src/player_actions.adb,Extend the completed milestone with this practical variation: Add a procedure that resets the player to a spawn point.,Each procedure has a narrow purpose and correct parameter modes.
66,ADA-P1-07-06,Project 1 — Dungeon Walk,Move Behavior into Procedures,Test,Move Behavior into Procedures — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,src/player_actions.ads; src/player_actions.adb,"Create automated or repeatable tests that prove the milestone and its boundaries: Extract prompting, movement, turning, and status display into procedures with deliberate parameter modes.",Each procedure has a narrow purpose and correct parameter modes.
67,ADA-P1-07-07,Project 1 — Dungeon Walk,Move Behavior into Procedures,Repair,Move Behavior into Procedures — Repair,~/Documents/src/projects/ada-mastery/dungeon_walk,src/player_actions.ads; src/player_actions.adb,Reproduce and repair this defect class in the current project: Using in out for everything or changing state through globals that should be parameters.,Each procedure has a narrow purpose and correct parameter modes.
68,ADA-P1-07-08,Project 1 — Dungeon Walk,Move Behavior into Procedures,Refactor,Move Behavior into Procedures — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,src/player_actions.ads; src/player_actions.adb,Refactor the chapter implementation so Procedures and in/out/in out modes is clearer without changing behavior.,Each procedure has a narrow purpose and correct parameter modes.
69,ADA-P1-07-09,Project 1 — Dungeon Walk,Move Behavior into Procedures,Integrate,Move Behavior into Procedures — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,src/player_actions.ads; src/player_actions.adb,"Integrate this chapter into the running final product so it works with earlier milestones: Extract prompting, movement, turning, and status display into procedures with deliberate parameter modes.",Each procedure has a narrow purpose and correct parameter modes.
70,ADA-P1-07-10,Project 1 — Dungeon Walk,Move Behavior into Procedures,Review,Move Behavior into Procedures — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,src/player_actions.ads; src/player_actions.adb,Perform a senior-style checkpoint review of Move Behavior into Procedures in Dungeon Walk.,Each procedure has a narrow purpose and correct parameter modes.
71,ADA-P1-08-01,Project 1 — Dungeon Walk,Compute Instead of Mutate,Question,Compute Instead of Mutate — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/dungeon_math.adb; src/command_parser.adb,"Answer one focused question before editing code: How should Functions, return types, expression functions, and purity be used to accomplish this milestone: Implement functions for next position, normalized angle, tile lookup, and command parsing.",Core calculations can be tested without running the game loop.
72,ADA-P1-08-02,Project 1 — Dungeon Walk,Compute Instead of Mutate,Code Reading,Compute Instead of Mutate — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/dungeon_math.adb; src/command_parser.adb,"Read the current implementation around src/dungeon_math.ads, src/dungeon_math.adb, src/command_parser.adb. Trace how data enters, changes, and leaves the code for this milestone: Implement functions for next position, normalized angle, tile lookup, and command parsing.",Core calculations can be tested without running the game loop.
