sequence,quest_id,milestone,chapter,kind,title,concept,prompt,expected_output,workspace,files
35,ADA-DW-06-05,6,Model the Ship Map with a Subtype and Array,Repair,6.5 — Repair a Focused Defect,"String constraints, subtypes, arrays, and multidimensional indexing","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.",Changing any row from 16 characters to 15 causes compilation to fail; restoring it succeeds.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
36,ADA-DW-06-06,6,Model the Ship Map with a Subtype and Array,Checkpoint,6.6 — Demonstrate and Explain the Checkpoint,"String constraints, subtypes, arrays, and multidimensional indexing","Build and demonstrate milestone 6. Then explain, without reading the source line by line, how String constraints, subtypes, arrays, and multidimensional indexing makes the new behavior work.",Changing any row from 16 characters to 15 causes compilation to fail; restoring it succeeds.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
37,ADA-DW-07-01,7,Print the Top-Down Map with a Procedure,Orientation,7.1 — Understand the Next Milestone,"procedures, for loops, array attributes, and parameters","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 7: Print the Top-Down Map with a Procedure.",All 16 map rows appear in the terminal before command input begins.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
38,ADA-DW-07-02,7,Print the Top-Down Map with a Procedure,Question,7.2 — Answer the Core Ada Question,"procedures, for loops, array attributes, and parameters",Why is `for Row in Ship_Map'Range loop` preferable to hard-coding `for Row in 1 .. 16 loop`?,All 16 map rows appear in the terminal before command input begins.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
39,ADA-DW-07-03,7,Print the Top-Down Map with a Procedure,Build,7.3 — Build the Milestone,"procedures, for loops, array attributes, and parameters",Implement milestone 7: Print the Top-Down Map with a Procedure. Work only in the existing dungeon_walk crate.,All 16 map rows appear in the terminal before command input begins.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
40,ADA-DW-07-04,7,Print the Top-Down Map with a Procedure,Predict,7.4 — Predict Before Running,"procedures, for loops, array attributes, and parameters",Does Draw_Map need Ship_Map as a parameter while it is nested inside Dungeon_Walk?,All 16 map rows appear in the terminal before command input begins.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
41,ADA-DW-07-05,7,Print the Top-Down Map with a Procedure,Repair,7.5 — Repair a Focused Defect,"procedures, for loops, array attributes, and parameters","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.",All 16 map rows appear in the terminal before command input begins.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
42,ADA-DW-07-06,7,Print the Top-Down Map with a Procedure,Checkpoint,7.6 — Demonstrate and Explain the Checkpoint,"procedures, for loops, array attributes, and parameters","Build and demonstrate milestone 7. Then explain, without reading the source line by line, how procedures, for loops, array attributes, and parameters makes the new behavior work.",All 16 map rows appear in the terminal before command input begins.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
43,ADA-DW-08-01,8,Create an Off-Screen Character Buffer,Orientation,8.1 — Understand the Next Milestone,arrays of constrained strings and mutable aggregate state,"Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 8: Create an Off-Screen Character Buffer.","The terminal displays exactly Screen_Height rows, each containing Screen_Width assigned characters.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
44,ADA-DW-08-02,8,Create an Off-Screen Character Buffer,Question,8.2 — Answer the Core Ada Question,arrays of constrained strings and mutable aggregate state,What does `Screen (Row) (Column)` mean?,"The terminal displays exactly Screen_Height rows, each containing Screen_Width assigned characters.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
45,ADA-DW-08-03,8,Create an Off-Screen Character Buffer,Build,8.3 — Build the Milestone,arrays of constrained strings and mutable aggregate state,Implement milestone 8: Create an Off-Screen Character Buffer. Work only in the existing dungeon_walk crate.,"The terminal displays exactly Screen_Height rows, each containing Screen_Width assigned characters.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
46,ADA-DW-08-04,8,Create an Off-Screen Character Buffer,Predict,8.4 — Predict Before Running,arrays of constrained strings and mutable aggregate state,Why is an uninitialized Screen unsafe to print immediately?,"The terminal displays exactly Screen_Height rows, each containing Screen_Width assigned characters.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
47,ADA-DW-08-05,8,Create an Off-Screen Character Buffer,Repair,8.5 — Repair a Focused Defect,arrays of constrained strings and mutable aggregate state,"The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.","The terminal displays exactly Screen_Height rows, each containing Screen_Width assigned characters.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
48,ADA-DW-08-06,8,Create an Off-Screen Character Buffer,Checkpoint,8.6 — Demonstrate and Explain the Checkpoint,arrays of constrained strings and mutable aggregate state,"Build and demonstrate milestone 8. Then explain, without reading the source line by line, how arrays of constrained strings and mutable aggregate state makes the new behavior work.","The terminal displays exactly Screen_Height rows, each containing Screen_Width assigned characters.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
49,ADA-DW-09-01,9,Fill Ceiling and Floor with Nested Loops,Orientation,9.1 — Understand the Next Milestone,"nested iteration, conditions, and array assignment","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 9: Fill Ceiling and Floor with Nested Loops.",The upper portion of the frame is blank and the lower portion is dotted.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
50,ADA-DW-09-02,9,Fill Ceiling and Floor with Nested Loops,Question,9.2 — Answer the Core Ada Question,"nested iteration, conditions, and array assignment",Why must Fill_Background assign every character on every frame?,The upper portion of the frame is blank and the lower portion is dotted.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
51,ADA-DW-09-03,9,Fill Ceiling and Floor with Nested Loops,Build,9.3 — Build the Milestone,"nested iteration, conditions, and array assignment",Implement milestone 9: Fill Ceiling and Floor with Nested Loops. Work only in the existing dungeon_walk crate.,The upper portion of the frame is blank and the lower portion is dotted.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
52,ADA-DW-09-04,9,Fill Ceiling and Floor with Nested Loops,Predict,9.4 — Predict Before Running,"nested iteration, conditions, and array assignment","With Screen_Height = 24, which branch handles row 12?",The upper portion of the frame is blank and the lower portion is dotted.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
53,ADA-DW-09-05,9,Fill Ceiling and Floor with Nested Loops,Repair,9.5 — Repair a Focused Defect,"nested iteration, conditions, and array assignment","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.",The upper portion of the frame is blank and the lower portion is dotted.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
54,ADA-DW-09-06,9,Fill Ceiling and Floor with Nested Loops,Checkpoint,9.6 — Demonstrate and Explain the Checkpoint,"nested iteration, conditions, and array assignment","Build and demonstrate milestone 9. Then explain, without reading the source line by line, how nested iteration, conditions, and array assignment makes the new behavior work.",The upper portion of the frame is blank and the lower portion is dotted.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
55,ADA-DW-10-01,10,Write Is_Wall Safely,Orientation,10.1 — Understand the Next Milestone,"functions, return values, short-circuit Boolean logic, conversion, and bounds","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 10: Write Is_Wall Safely.","Wall coordinates return TRUE, floor coordinates return FALSE, and outside coordinates return TRUE without crashing.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
56,ADA-DW-10-02,10,Write Is_Wall Safely,Question,10.2 — Answer the Core Ada Question,"functions, return values, short-circuit Boolean logic, conversion, and bounds",Why does Is_Wall check bounds before evaluating Ship_Map(Map_Y)(Map_X)?,"Wall coordinates return TRUE, floor coordinates return FALSE, and outside coordinates return TRUE without crashing.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
57,ADA-DW-10-03,10,Write Is_Wall Safely,Build,10.3 — Build the Milestone,"functions, return values, short-circuit Boolean logic, conversion, and bounds",Implement milestone 10: Write Is_Wall Safely. Work only in the existing dungeon_walk crate.,"Wall coordinates return TRUE, floor coordinates return FALSE, and outside coordinates return TRUE without crashing.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
58,ADA-DW-10-04,10,Write Is_Wall Safely,Predict,10.4 — Predict Before Running,"functions, return values, short-circuit Boolean logic, conversion, and bounds",What map tile is tested for X = 2.9 and Y = 4.1?,"Wall coordinates return TRUE, floor coordinates return FALSE, and outside coordinates return TRUE without crashing.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
59,ADA-DW-10-05,10,Write Is_Wall Safely,Repair,10.5 — Repair a Focused Defect,"functions, return values, short-circuit Boolean logic, conversion, and bounds","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.","Wall coordinates return TRUE, floor coordinates return FALSE, and outside coordinates return TRUE without crashing.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
60,ADA-DW-10-06,10,Write Is_Wall Safely,Checkpoint,10.6 — Demonstrate and Explain the Checkpoint,"functions, return values, short-circuit Boolean logic, conversion, and bounds","Build and demonstrate milestone 10. Then explain, without reading the source line by line, how functions, return values, short-circuit Boolean logic, conversion, and bounds makes the new behavior work.","Wall coordinates return TRUE, floor coordinates return FALSE, and outside coordinates return TRUE without crashing.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
61,ADA-DW-11-01,11,Use Floating-Point Player Coordinates,Orientation,11.1 — Understand the Next Milestone,"Float state, assignments, and tile versus world coordinates","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 11: Use Floating-Point Player Coordinates.",Repeated W input shows fractional positions changing by approximately 0.35.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
62,ADA-DW-11-02,11,Use Floating-Point Player Coordinates,Question,11.2 — Answer the Core Ada Question,"Float state, assignments, and tile versus world coordinates",Why are Player_X and Player_Y Float instead of Integer?,Repeated W input shows fractional positions changing by approximately 0.35.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
63,ADA-DW-11-03,11,Use Floating-Point Player Coordinates,Build,11.3 — Build the Milestone,"Float state, assignments, and tile versus world coordinates",Implement milestone 11: Use Floating-Point Player Coordinates. Work only in the existing dungeon_walk crate.,Repeated W input shows fractional positions changing by approximately 0.35.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
64,ADA-DW-11-04,11,Use Floating-Point Player Coordinates,Predict,11.4 — Predict Before Running,"Float state, assignments, and tile versus world coordinates","After starting at 2.5 and adding Move_Speed 0.35 twice, what is Player_X mathematically?",Repeated W input shows fractional positions changing by approximately 0.35.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
65,ADA-DW-11-05,11,Use Floating-Point Player Coordinates,Repair,11.5 — Repair a Focused Defect,"Float state, assignments, and tile versus world coordinates","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.",Repeated W input shows fractional positions changing by approximately 0.35.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
66,ADA-DW-11-06,11,Use Floating-Point Player Coordinates,Checkpoint,11.6 — Demonstrate and Explain the Checkpoint,"Float state, assignments, and tile versus world coordinates","Build and demonstrate milestone 11. Then explain, without reading the source line by line, how Float state, assignments, and tile versus world coordinates makes the new behavior work.",Repeated W input shows fractional positions changing by approximately 0.35.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
67,ADA-DW-12-01,12,Turn with Radians and Compute Direction,Orientation,12.1 — Understand the Next Milestone,"Ada.Numerics, elementary functions, radians, Sin, and Cos","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 12: Turn with Radians and Compute Direction.",A and D update the direction components smoothly and in opposite directions.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
68,ADA-DW-12-02,12,Turn with Radians and Compute Direction,Question,12.2 — Answer the Core Ada Question,"Ada.Numerics, elementary functions, radians, Sin, and Cos","At Player_Angle = 0.0, what are the approximate X and Y direction components?",A and D update the direction components smoothly and in opposite directions.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
69,ADA-DW-12-03,12,Turn with Radians and Compute Direction,Build,12.3 — Build the Milestone,"Ada.Numerics, elementary functions, radians, Sin, and Cos",Implement milestone 12: Turn with Radians and Compute Direction. Work only in the existing dungeon_walk crate.,A and D update the direction components smoothly and in opposite directions.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
70,ADA-DW-12-04,12,Turn with Radians and Compute Direction,Predict,12.4 — Predict Before Running,"Ada.Numerics, elementary functions, radians, Sin, and Cos",Approximately what direction is represented by Ada.Numerics.Pi / 2.0?,A and D update the direction components smoothly and in opposite directions.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
71,ADA-DW-12-05,12,Turn with Radians and Compute Direction,Repair,12.5 — Repair a Focused Defect,"Ada.Numerics, elementary functions, radians, Sin, and Cos","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.",A and D update the direction components smoothly and in opposite directions.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
72,ADA-DW-12-06,12,Turn with Radians and Compute Direction,Checkpoint,12.6 — Demonstrate and Explain the Checkpoint,"Ada.Numerics, elementary functions, radians, Sin, and Cos","Build and demonstrate milestone 12. Then explain, without reading the source line by line, how Ada.Numerics, elementary functions, radians, Sin, and Cos makes the new behavior work.",A and D update the direction components smoothly and in opposite directions.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
73,ADA-DW-13-01,13,"Move Forward, Backward, and Slide Along Walls",Orientation,13.1 — Understand the Next Milestone,"procedure parameters, local constants, collision checks, and state mutation","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 13: Move Forward, Backward, and Slide Along Walls.","W and S move smoothly, the player cannot cross '#', and movement can slide along an open axis.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
74,ADA-DW-13-02,13,"Move Forward, Backward, and Slide Along Walls",Question,13.2 — Answer the Core Ada Question,"procedure parameters, local constants, collision checks, and state mutation","Why does Attempt_Move test `(New_X, Player_Y)` separately from `(Player_X, New_Y)`?","W and S move smoothly, the player cannot cross '#', and movement can slide along an open axis.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
75,ADA-DW-13-03,13,"Move Forward, Backward, and Slide Along Walls",Build,13.3 — Build the Milestone,"procedure parameters, local constants, collision checks, and state mutation","Implement milestone 13: Move Forward, Backward, and Slide Along Walls. Work only in the existing dungeon_walk crate.","W and S move smoothly, the player cannot cross '#', and movement can slide along an open axis.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
76,ADA-DW-13-04,13,"Move Forward, Backward, and Slide Along Walls",Predict,13.4 — Predict Before Running,"procedure parameters, local constants, collision checks, and state mutation",What changes when Attempt_Move receives -1.0?,"W and S move smoothly, the player cannot cross '#', and movement can slide along an open axis.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
